      <td> 2</td>
      <td> 2</td>
    </tr>
    <tr>
      <th>122</th>
      <td> 7.7</td>
      <td> 2.8</td>
      <td> 6.7</td>
      <td> 2.0</td>
      <td> 2</td>
      <td> 2</td>
    </tr>
    <tr>
      <th>124</th>
      <td> 6.7</td>
      <td> 3.3</td>
      <td> 5.7</td>
      <td> 2.1</td>
      <td> 2</td>
      <td> 2</td>
    </tr>
    <tr>
      <th>125</th>
      <td> 7.2</td>
      <td> 3.2</td>
      <td> 6.0</td>
      <td> 1.8</td>
      <td> 2</td>
      <td> 2</td>
    </tr>
    <tr>
      <th>128</th>
      <td> 6.4</td>
      <td> 2.8</td>
      <td> 5.6</td>
      <td> 2.1</td>
      <td> 2</td>
      <td> 2</td>
    </tr>
    <tr>
      <th>129</th>
      <td> 7.2</td>
      <td> 3.0</td>
      <td> 5.8</td>
      <td> 1.6</td>
      <td> 2</td>
      <td> 2</td>
    </tr>
    <tr>
      <th>130</th>
      <td> 7.4</td>
      <td> 2.8</td>
      <td> 6.1</td>
      <td> 1.9</td>
      <td> 2</td>
      <td> 2</td>
    </tr>
    <tr>
      <th>131</th>
      <td> 7.9</td>
      <td> 3.8</td>
      <td> 6.4</td>
      <td> 2.0</td>
      <td> 2</td>
      <td> 2</td>
    </tr>
    <tr>
      <th>132</th>
      <td> 6.4</td>
      <td> 2.8</td>
      <td> 5.6</td>
      <td> 2.2</td>
      <td> 2</td>
      <td> 2</td>
    </tr>
    <tr>
      <th>134</th>
      <td> 6.1</td>
      <td> 2.6</td>
      <td> 5.6</td>
      <td> 1.4</td>
      <td> 2</td>
      <td> 2</td>
    </tr>
    <tr>
      <th>135</th>
      <td> 7.7</td>
      <td> 3.0</td>
      <td> 6.1</td>
      <td> 2.3</td>
      <td> 2</td>
      <td> 2</td>
    </tr>
    <tr>
      <th>136</th>
      <td> 6.3</td>
      <td> 3.4</td>
      <td> 5.6</td>
      <td> 2.4</td>
      <td> 2</td>
      <td> 2</td>
    </tr>
    <tr>
      <th>137</th>
      <td> 6.4</td>
      <td> 3.1</td>
      <td> 5.5</td>
      <td> 1.8</td>
      <td> 2</td>
      <td> 2</td>
    </tr>
    <tr>
      <th>139</th>
      <td> 6.9</td>
      <td> 3.1</td>
      <td> 5.4</td>
      <td> 2.1</td>
      <td> 2</td>
      <td> 2</td>
    </tr>
    <tr>
      <th>140</th>
      <td> 6.7</td>
      <td> 3.1</td>
      <td> 5.6</td>
      <td> 2.4</td>
      <td> 2</td>
      <td> 2</td>
    </tr>
    <tr>
      <th>141</th>
      <td> 6.9</td>
      <td> 3.1</td>
      <td> 5.1</td>
      <td> 2.3</td>
      <td> 2</td>
      <td> 2</td>
    </tr>
    <tr>
      <th>143</th>
      <td> 6.8</td>
      <td> 3.2</td>
      <td> 5.9</td>
      <td> 2.3</td>
      <td> 2</td>
      <td> 2</td>
    </tr>
    <tr>
      <th>144</th>
      <td> 6.7</td>
      <td> 3.3</td>
      <td> 5.7</td>
      <td> 2.5</td>
      <td> 2</td>
      <td> 2</td>
    </tr>
    <tr>
      <th>145</th>
      <td> 6.7</td>
      <td> 3.0</td>
      <td> 5.2</td>
      <td> 2.3</td>
      <td> 2</td>
      <td> 2</td>
    </tr>
    <tr>
      <th>147</th>
      <td> 6.5</td>
      <td> 3.0</td>
      <td> 5.2</td>
      <td> 2.0</td>
      <td> 2</td>
      <td> 2</td>
    </tr>
    <tr>
      <th>148</th>
      <td> 6.2</td>
      <td> 3.4</td>
      <td> 5.4</td>
      <td> 2.3</td>
      <td> 2</td>
      <td> 2</td>
    </tr>
  </tbody>
</table>
